,Brand,Headline,Review,Grade
0,Just Eat,owe me money and won’t pay,"Owed money for a meal half empty and cold since Dec 23 , making every excuse to pay me, firstly say my Apple ID account they can’t refund as no access so told to sign in with my other email and now saying they can’t pay that one so make  another email to be paid too, I’m fed up with the excuses and non existent customer service, just pay what you owe then I can cancel my account asap",1
1,Just Eat,P1ss poor. Won’t attempt to use again,"Having ordered last night, I was given a delivery time between 18.25 & 18.45.As earlier time approached, I got a message saying there was a delay & would now be 18.35-18.55.Again as it went past the earlier delivery time I had another message saying between 18.45 & 19.05.  When it got to 19.20 with no further message I had to give up & cancel. By this time I was starving and had to resort to a bowl of cereal.Upon cancellation just asked why I was cancelling…., no attempt at an apology of any sort. Couldn’t leave review on JustEat but so annoyed has to share.",1
2,Just Eat,Compensation thieves!,"Be careful of these money stealing, no delivering jokes of a company! They promise compensation for their lack of service, but give nothing back",1
3,Just Eat,The WORST customer service,"The WORST customer service. Never received my requested refund. I have spoken with Chakali Pavan, Satish Pola, Lyndsay Hall and the team leader Hannah. They all ignored my request only offering less than 50% of my order value in CREDIT. Not a refund. CREDIT. My whole order was ruined, cold and very late. They refused to let me speak to an actual manager and then said if i keep emailing, they will close this case and I will not be able to contact them. This is a joke. I want refund of my order.",1
4,Just Eat,Awful customer service,Awful customer service. For past few months I've faced 2 issues with my orders. I contacted customer service and they never helped. Use just eat only if you're ok to pay for their mistakes,1
5,Just Eat,Disgraceful!! Late delivery,"Disgraceful!! I asked for my order to be delivered for 11:45am and yet, they took hours to even assign me a driver and then when they finally do it the says estimated for 11:56am which is an absolute disgrace when I wanted our order for 11:45am and chose it for then, to then not get it by then. I’m not happy by this at all, it’s a disgrace and I expect an apology!! Come on you had since 10:30am to confirm and assign a driver for this, yet it wasn’t done. So I am making this complaint. I’m sat here hungry for our order and so is my son. If you had done your job properly our food would have been here by now!!",1
6,Just Eat,I am pregnant  with problems  order…,I am pregnant  with problems  order food the man left it downstairs at the main door it's not a funking parcel its my FOOD  JUST EATS IS SAYING THEY CANT DO NOTHING NOBODY ORDER FROM THEM I DONT LIVE AT MAINDOOR MY DOOR HAS A NUMBER,1
7,Just Eat,Their promo codes are just impossible…,Their promo codes are just impossible to use and there is always a problem.  It's just some sort of sales tactic to get you to order.  Useless!,2
8,Just Eat,Just Eat is terrible,"Just Eat is terrible. I ordered food to arrive at the start of my lunch break. Instead, the app told me it'd be 45 minutes late, which would make it arrive after my break was over. I tried to cancel the order but Just Eat wouldn't do anything about it. DO NOT USE THIS SERVICE",1
9,Just Eat,Order cancelled more than half an hour…,Order cancelled more than half an hour after the order was placed....,1
10,Just Eat,I used to order a lot through JustEat…,"I used to order a lot through JustEat but from now on I believe I won't order with them anymore. 1- their ""tracking"" app is absolutely useless because it gives you an approximate time of preparation for your order. It happens MORE AND MORE that it says ""your order will be there in 39mins"" and in the end I have to wait 1:30 to 2:30 to get my order.2- when there's a problem you can contact them as much as you want, you won't have any answer. Especially if they know that you will ask for a refund. Which is VERY PROBLEMATIC when an item is missing in your order. I had tons of other problems with them, little ones at the beginning, then it happened more frequently and now it's always the case and NONE OF THEM were ever taken. Tonight I ordered at 6:30 and received my order at 20:30....",1
11,Just Eat,What a f****** crap company,"What a f****** crap company! I ordered food in Montpellier and I was waiting downstairs for the delivery guy. Saw some people riding on their bikes but had no idea one of them had my order (I cannot know that). Saw the guy on the tracker waiting 2 blocks away no movement on the tracker. After some time I recieved a mail that the guy was at my door and would wait 5 more minutes and then he would drive off, while I was waiting on my f****** doorstep and didn't see anybody!!!!! Called the number on the email and the lady said it was my fault because i did not respond to the driver's email or phone call... I DID NOT GET ANY MAIL OR CALL!!!!! Asked for a refund then told me it was not possible because I did not answer, YOUR F****** DRIVER DID NOT PUT ANY EFFORT INTO FINDING THE RIGHT PLACE!!!! Gave me a 20€ voucher for a f****** 30€ order... F*** this!",1
12,Just Eat,2 orders were cancelled in the same…,2 orders were cancelled in the same day. they refunded one of them and didn't do for the other one. I will never use this app again. bad customer service,1
13,Just Eat,I give two stars,"Ordered a pizza, the money was taken from my bank account, but the restaurant received the order after one hour.Waited two hour and eventually got my pizza. First time and last one !",2
14,Just Eat,Just thieves and liars,"Just thieves and liarsOrdered food that never came. Since December I have been on their case to refund my money and they keep giving the same nonsense. Their apparent investigation team will get back to me in 48 hours. Never happened. As soon as I get my refund I'm closing my account. Don't put your money into Just Thieves. They genuinely don't care and intentionally make it difficult to get through to customer services, probably because of the negative calls they know they will get! Its a shame we can't give a minus rating",1
15,Just Eat,First Time using juste eat,First Time using the service and nothing was delivered after being 2hours of wait i decided to forget about feeding myself .,1
16,Just Eat,Having purchased a gift card and not provided funds,Having purchased a gift card and attempted to order food Just eat advised I had already redeemed the voucher. Provided proof of no orders and would not give a refund and accused me of lying and had allowed someone else to use the voucher. No food and just gave them £15 that they won't refund or they have sent to someone else account by mistake. Data breach!!! don't use website as you have no idea where your details and money is being sent to!!,1
17,Just Eat,Terrible service and food never arrived,"Ordered food at 6pm. App kept updating the expected delivery time and saying it wasnt assigned to a driver. Then did get assigned around 7.30pm. We called the restaurant and they were lovely, said they have issues all the time with Just Eat and they're gonna complain too - even offered a full refund and food free of charge. Called Just Eat 3 times and have had probably worst customer service from any business ever - out of the 3 times I called, they hung up twice after I gave my order number (the same agent both times) and then the third agent helped and gave £5 credit. I requested £15 goodwill instead and the agent declined so I asked to speak to a manager. They ignored my request and just asked if there anything else they could do(?) I said again I wanted to speak to a manager; at that point the line went silent for 15 mins, so in the end I hung up. Eventually got through to someone on online chat (at 9pm - 3 hrs after we made the order) who repeated to me that the order was never assigned and would I like a refund. They kept using this canned response when I asked more questions. Eventually I agreed to cancel the order. My sister also spoke to someone who said we will get manager callback within 24 hours but I have no faith.",1
18,Just Eat,Poor service,"This is the second time that I've placed an order through JustEat, and it was never delivered. Poor service.I highly do not recommend.",1
19,Just Eat,Not Applicable,,3
20,Just Eat,Excellent,Excellent. Service au top.,5
21,Just Eat,Excellent,Excellentes pizzas et panna Costa chez Alice Pizza,4
22,Just Eat,Excellent !!!💪🏼,,5
23,Just Eat,5 messages chat avant validation de…,5 messages chat avant validation de paiement /// On ne sait pas à quelle heure on va être livré,2
24,Just Eat,De la bombe,De la bombe ;),5
25,Just Eat,Just terrible,"Just terrible. Order arrived after almost 2 hours. The fish was old and reheated, the chicken was old too and smelt funny- it was dispicable and the plantain were the worst I have ever eaten. We literally ate the rice and proceeded to delete this experience from our memories.never again",1
