,Brand,Headline,Review_not_corrected,Grade,Review
0,Just Eat,owe me money and won’t pay,"Owed money for a meal half empty and cold since Dec 23 , making every excuse to pay me, firstly say my Apple ID account they can’t refund as no access so told to sign in with my other email and now saying they can’t pay that one so make  another email to be paid too, I’m fed up with the excuses and non existent customer service, just pay what you owe then I can cancel my account asap",1,"Owed money for a meal half empty and cold since Dec 23 , making every excuse to pay me, firstly say my Apple of account they can’t refund as no access so told to sign in with my other email and now saying they can’t pay that one so make  another email to be paid too, I’m fed up with the excuses and non extent customer service, just pay what you owe then I can cancel my account sap"
1,Just Eat,P1ss poor. Won’t attempt to use again,"Having ordered last night, I was given a delivery time between 18.25 & 18.45.As earlier time approached, I got a message saying there was a delay & would now be 18.35-18.55.Again as it went past the earlier delivery time I had another message saying between 18.45 & 19.05.  When it got to 19.20 with no further message I had to give up & cancel. By this time I was starving and had to resort to a bowl of cereal.Upon cancellation just asked why I was cancelling…., no attempt at an apology of any sort. Couldn’t leave review on JustEat but so annoyed has to share.",1,"Having ordered last night, I was given a delivery time between 18.25 & 18.45.Is earlier time approached, I got a message saying there was a delay & would now be 18.35-18.55.Again as it went past the earlier delivery time I had another message saying between 18.45 & 19.05.  When it got to 19.20 with no further message I had to give up & cancel. By this time I was starving and had to resort to a bowl of cereal.Upon cancellation just asked why I was concealing…., no attempt at an apology of any sort. Wouldn’t leave review on JustEat but so annoyed has to share."
2,Just Eat,Compensation thieves!,"Be careful of these money stealing, no delivering jokes of a company! They promise compensation for their lack of service, but give nothing back",1,"He careful of these money stealing, no delivering jokes of a company! They promise compensation for their lack of service, but give nothing back"
3,Just Eat,The WORST customer service,"The WORST customer service. Never received my requested refund. I have spoken with Chakali Pavan, Satish Pola, Lyndsay Hall and the team leader Hannah. They all ignored my request only offering less than 50% of my order value in CREDIT. Not a refund. CREDIT. My whole order was ruined, cold and very late. They refused to let me speak to an actual manager and then said if i keep emailing, they will close this case and I will not be able to contact them. This is a joke. I want refund of my order.",1,"The WORST customer service. Never received my requested refund. I have spoken with Chakali Naval, Vanish Old, Lyndsay All and the team leader Hannah. They all ignored my request only offering less than 50% of my order value in CREDIT. Not a refund. CREDIT. By whole order was ruined, cold and very late. They refused to let me speak to an actual manager and then said if i keep smiling, they will close this case and I will not be able to contact them. His is a joke. I want refund of my order."
4,Just Eat,Awful customer service,Awful customer service. For past few months I've faced 2 issues with my orders. I contacted customer service and they never helped. Use just eat only if you're ok to pay for their mistakes,1,Awful customer service. For past few months I've faced 2 issues with my orders. I contracted customer service and they never helped. Use just eat only if you're ok to pay for their mistakes
5,Just Eat,Disgraceful!! Late delivery,"Disgraceful!! I asked for my order to be delivered for 11:45am and yet, they took hours to even assign me a driver and then when they finally do it the says estimated for 11:56am which is an absolute disgrace when I wanted our order for 11:45am and chose it for then, to then not get it by then. I’m not happy by this at all, it’s a disgrace and I expect an apology!! Come on you had since 10:30am to confirm and assign a driver for this, yet it wasn’t done. So I am making this complaint. I’m sat here hungry for our order and so is my son. If you had done your job properly our food would have been here by now!!",1,"Disgraceful!! I asked for my order to be delivered for 11:am and yet, they took hours to even assign me a driver and then when they finally do it the says estimated for 11:am which is an absolute disgrace when I wanted our order for 11:am and chose it for then, to then not get it by then. I’m not happy by this at all, it’s a disgrace and I expect an apology!! Some on you had since 10:am to confirm and assign a driver for this, yet it wasn’t done. To I am making this complaint. I’m sat here hungry for our order and so is my son. Of you had done your job properly our food would have been here by now!!"
6,Just Eat,I am pregnant  with problems  order…,I am pregnant  with problems  order food the man left it downstairs at the main door it's not a funking parcel its my FOOD  JUST EATS IS SAYING THEY CANT DO NOTHING NOBODY ORDER FROM THEM I DONT LIVE AT MAINDOOR MY DOOR HAS A NUMBER,1,I am pregnant  with problems  order food the man left it downstairs at the main door it's not a funding parcel its my FOOD  JUST EATS of SAYING THEY CANT of NOTHING NOBODY ORDER FROM THEM I DONT LIVE of MAINDOOR of DOOR HAS A NUMBER
7,Just Eat,Their promo codes are just impossible…,Their promo codes are just impossible to use and there is always a problem.  It's just some sort of sales tactic to get you to order.  Useless!,2,Their promo codes are just impossible to use and there is always a problem.  It's just some sort of sales tactic to get you to order.  Useless!
8,Just Eat,Just Eat is terrible,"Just Eat is terrible. I ordered food to arrive at the start of my lunch break. Instead, the app told me it'd be 45 minutes late, which would make it arrive after my break was over. I tried to cancel the order but Just Eat wouldn't do anything about it. DO NOT USE THIS SERVICE",1,"Must At is terrible. I ordered food to arrive at the start of my lunch break. Instead, the pp told me it'd be 45 minutes late, which would make it arrive after my break was over. I tried to cancel the order but Must At wouldn't do anything about it. of NOT USE THIS SERVICE"
9,Just Eat,Order cancelled more than half an hour…,Order cancelled more than half an hour after the order was placed....,1,Order canceled more than half an hour after the order was placed....
